status,propertyType,baths,fireplace,city,schools,sqft,zipcode,beds,state,stories,target
4,668,2.5,1535,1726,227225,2255.0,1397,3.0,7,2.0,565000.0
4,615,2.5,1535,278,223565,2762.0,1007,3.0,21,2.0,364990.0
124,1175,2.0,1535,990,14904,1672.0,1355,3.0,7,2.0,250000.0
125,1240,2.0,1535,548,20125,1200.0,1382,3.0,7,9.0,279900.0
125,1245,3.0,1592,1208,217256,2469.0,1296,4.0,7,1.0,525000.0
66,1128,2.0,1535,1306,69278,1152.0,3300,4.0,23,1.0,290000.0
125,1245,3.0,1535,1306,221244,2114.0,3307,4.0,23,2.0,445000.0
125,1246,2.5,1535,70,65232,2054.0,1079,3.0,9,3.0,193180.0
4,1090,2.5,160,385,202836,11598.0,2493,3.0,32,2.0,6599000.0
66,1128,4.0,1591,385,17983,3905.0,2480,4.0,32,2.0,995000.0
125,1240,2.0,1535,868,65462,1234.0,1391,2.0,7,2.0,119500.0
4,72,2.5,1535,1403,11223,3097.0,2874,3.0,32,2.0,470000.0
125,1244,4.0,1535,188,159875,1136.0,138,6.0,24,2.0,799999.0
125,1245,5.0,1535,686,209348,3408.0,1288,5.0,7,2.0,575000.0
4,1129,2.5,1535,1038,119764,2000.0,1135,3.0,9,2.0,159900.0
66,399,2.0,1535,69,44636,1430.0,1092,2.0,9,2.0,85000.0
125,1245,3.0,1592,1403,209588,2454.0,2872,3.0,32,2.0,299500.0
125,1240,2.0,1592,291,185560,1500.0,2299,3.0,11,3.0,249800.0
125,1245,2.0,1535,881,93484,1630.0,1496,3.0,7,1.0,179000.0
4,1228,2.5,1535,1230,203474,2515.0,981,3.0,21,2.0,320000.0
125,1245,3.5,1535,819,130797,2609.0,1568,4.0,7,2.0,377990.0
124,1128,4.0,1591,1403,21255,3391.0,2874,4.0,32,2.0,505000.0
66,1128,3.0,1535,1382,6592,2021.0,3873,3.0,3,1.0,639995.0
4,1122,2.5,1535,556,203826,2260.0,2589,3.0,32,2.0,319375.0
4,72,2.5,1535,1403,25103,1151.0,2842,3.0,32,2.0,172000.0
